Model,Threshold,ROC-AUC,PR-AUC,Accuracy,Balanced Accuracy,Precision,Recall,F1,Kappa,TN,FP,FN,TP
Random Forest,0.1,0.9574090138893656,0.21737877941899608,0.9589690721649484,0.798922489788149,0.195852534562212,0.6343283582089553,0.2992957746478873,0.28418434172252616,9217,349,49,85
Random Forest,0.2,0.9574090138893656,0.21737877941899608,0.9830927835051546,0.5904088172975807,0.3125,0.1865671641791045,0.2336448598130841,0.22564691680133964,9511,55,109,25
Random Forest,0.3,0.9574090138893656,0.21737877941899608,0.9854639175257732,0.5106713453431151,0.23076923076923078,0.022388059701492536,0.04081632653061224,0.038466946378555855,9556,10,131,3
Random Forest,0.4,0.9574090138893656,0.21737877941899608,0.9860824742268042,0.5036268063820558,0.3333333333333333,0.007462686567164179,0.014598540145985401,0.014001999855431935,9564,2,133,1
Random Forest,0.5,0.9574090138893656,0.21737877941899608,0.9861855670103092,0.5036790748328189,0.5,0.007462686567164179,0.014705882352941176,0.014305387877427522,9565,1,133,1
Random Forest,0.6,0.9574090138893656,0.21737877941899608,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Random Forest,0.7,0.9574090138893656,0.21737877941899608,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Random Forest,0.8,0.9574090138893656,0.21737877941899608,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Random Forest,0.9,0.9574090138893656,0.21737877941899608,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Neural Network (ANN),0.1,0.9334763044489032,0.22233649160034605,0.948659793814433,0.8120910188759318,0.16544117647058823,0.6716417910447762,0.26548672566371684,0.24883467209719212,9112,454,44,90
Neural Network (ANN),0.2,0.9334763044489032,0.22233649160034605,0.9673195876288659,0.7148584383123063,0.2,0.4552238805970149,0.27790432801822323,0.2637720995268834,9322,244,73,61
Neural Network (ANN),0.3,0.9334763044489032,0.22233649160034605,0.9819587628865979,0.6082292385032813,0.297029702970297,0.22388059701492538,0.2553191489361702,0.2463701456914127,9495,71,104,30
Neural Network (ANN),0.4,0.9334763044489032,0.22233649160034605,0.9855670103092784,0.532798062790792,0.375,0.06716417910447761,0.11392405063291139,0.11018970388581084,9551,15,125,9
Neural Network (ANN),0.5,0.9334763044489032,0.22233649160034605,0.9861855670103092,0.5110372244984569,0.5,0.022388059701492536,0.04285714285714286,0.0417224519165551,9563,3,131,3
Neural Network (ANN),0.6,0.9334763044489032,0.22233649160034605,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Neural Network (ANN),0.7,0.9334763044489032,0.22233649160034605,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Neural Network (ANN),0.8,0.9334763044489032,0.22233649160034605,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Neural Network (ANN),0.9,0.9334763044489032,0.22233649160034605,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Voting Ensemble (5-model avg),0.1,0.9556194045453269,0.23099459038352288,0.9690721649484536,0.7267842264737363,0.21768707482993196,0.47761194029850745,0.29906542056074764,0.2855052337355455,9336,230,70,64
Voting Ensemble (5-model avg),0.2,0.9556194045453269,0.23099459038352288,0.9848453608247423,0.5434694081339071,0.32432432432432434,0.08955223880597014,0.14035087719298245,0.13518083630117717,9541,25,122,12
Voting Ensemble (5-model avg),0.3,0.9556194045453269,0.23099459038352288,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Voting Ensemble (5-model avg),0.4,0.9556194045453269,0.23099459038352288,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Voting Ensemble (5-model avg),0.5,0.9556194045453269,0.23099459038352288,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Voting Ensemble (5-model avg),0.6,0.9556194045453269,0.23099459038352288,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Voting Ensemble (5-model avg),0.7,0.9556194045453269,0.23099459038352288,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Voting Ensemble (5-model avg),0.8,0.9556194045453269,0.23099459038352288,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Voting Ensemble (5-model avg),0.9,0.9556194045453269,0.23099459038352288,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
